Banalacan Port,Adeling's Karenderia,K N's Kitchen,Street 74 Restaurant,Geodetic Center,Villa Negro Café,Paadjao Falls,Tarug Cave,Bagumbungan,Bathala Cave,Kawa-Kawa Falls,Holy Cross Parish Church,Rico's Inn,Vdine Restaurant,Stop'n Shop,Oromismo Hotel 898,Aler Café,Carmen Eco-Park,Pulang Lupa,Cate Tanawin,Ka Amon Cave,Poctoy White Beach Resort,Mang Bens,Ajumma,Amirah's Place,Em's Food House 2,Meal Tea Wings,Rosales One Stop Shop,Malbog Hotspring,Kape Dring,Mss Hotel And Resto,Green Crib,Tambayan Sa Curba,Curba Grill,St. Joseph The Worker Parish Church,Bayview,Sinugba,Unica Ija,Marigold,Monsan Brew,Talao Cave,Guingona Park,Tita Lida's,LUXOR Hotel and Restaurant,Marinduque Airport,Cumba,Theresa Store/Karinderia,Duyay Cave,Boac Cathedral,The Penthouse,Eomma,Bricks And Coals,10 Y.O.,Cravings,Tony And Aida's Pansiteria,Lola Pia's Pansit,Cafe Benevolo,Cafe Tolyo,Porknok Putok Batok,Khendal Foodhub,Hale Al,4900,Uncle Bhogs,Chinggay's Café,Curba Grill,Blue Building Food Court,Kusina Sa Plaza,Good Chow Food Express,La Concha,Picaro,Lucky Food House,Monserrat,Meal Tea Wings Murallon,Marinduque Museum,Marinduque Wildlife Sanctuary,St.Isidore Parish Church,Las Hermana's Restaurant,Tonicita's,Poblacion Pares,Calle Labao Diner,Bethany Cafe
0,7.318333333,4.096666667,4.045,17.13,15.04333333,44.63833333,16.32166667,34.93833333,30.20333333,29.72166667,28.64666667,28.27833333,28.445,28.255,28.54333333,28.875,35.295,55.62666667,58.02,46.05333333,57.63166667,55.34666667,54.26166667,54.24333333,54.195,54.27,53.9,40.78333333,39.17666667,39.32666667,39.36166667,39.46166667,39.435,26.51,26.57,26.02833333,25.95833333,26.345,26.57,38.89166667,26.85666667,26.01833333,24.43666667,21.80666667,22.45333333,21.94666667,31.40166667,11.09833333,15.45833333,15.425,15.43833333,15.59666667,14.03333333,14.00333333,13.81,12.725,12.40833333,12.35333333,12.07166667,11.73,11.47333333,11.27833333,11.095,11.26,11.145,11.21333333,11.28166667,11.28,11.2,11.46666667,11.50833333,11.45666667,21.56833333,91.43166667,6.236666667,5.978333333,5.808333333,5.558333333,5.84,6.126666667
7.35,0,7.478333333,7.426666667,11.15333333,9.066666667,48.02,19.70333333,38.32,33.585,33.10333333,32.02833333,31.66,31.82666667,31.63666667,31.925,32.25666667,38.67666667,59.00833333,61.40166667,49.435,61.01333333,58.72833333,57.64333333,57.625,57.57666667,57.65166667,57.28166667,44.165,42.55833333,42.70833333,42.74333333,42.84333333,42.81666667,29.89166667,29.95166667,29.41,29.34,29.72666667,29.95166667,42.27333333,30.23833333,29.4,27.81833333,25.18833333,25.835,25.32833333,34.78333333,14.48,18.84,18.80666667,18.82,18.97833333,17.415,17.385,17.19166667,16.10666667,15.79,15.735,15.45333333,15.11166667,14.855,14.66,14.47666667,14.64166667,14.52666667,14.595,14.66333333,14.66166667,14.58166667,14.84833333,14.89,14.83833333,24.95,94.81333333,9.618333333,9.36,9.19,8.94,9.221666667,9.508333333
4.026666667,7.481666667,0,0.051666667,17.29333333,15.20666667,40.54166667,12.225,30.84166667,26.10666667,25.625,24.55,24.18166667,24.34833333,24.15833333,24.44666667,24.77833333,31.19833333,51.53,53.92333333,41.95666667,53.535,51.25,50.165,50.14666667,50.09833333,50.17333333,49.80333333,36.68666667,35.08,35.23,35.265,35.365,35.33833333,22.41333333,22.47333333,21.93166667,21.86166667,22.24833333,22.47333333,34.795,22.76,21.92166667,20.34,17.71,18.35666667,17.85,27.305,7.001666667,11.36166667,11.32833333,11.34166667,11.5,9.936666667,9.906666667,9.713333333,8.628333333,8.311666667,8.256666667,7.975,7.633333333,7.376666667,7.181666667,6.998333333,7.163333333,7.048333333,7.116666667,7.185,7.183333333,7.103333333,7.37,7.411666667,7.36,17.47166667,87.335,2.14,1.881666667,1.711666667,1.461666667,1.743333333,2.03
3.975,7.43,0.051666667,0,17.24166667,15.155,40.59333333,12.27666667,30.89333333,26.15833333,25.67666667,24.60166667,24.23333333,24.4,24.21,24.49833333,24.83,31.25,51.58166667,53.975,42.00833333,53.58666667,51.30166667,50.21666667,50.19833333,50.15,50.225,49.855,36.73833333,35.13166667,35.28166667,35.31666667,35.41666667,35.39,22.465,22.525,21.98333333,21.91333333,22.3,22.525,34.84666667,22.81166667,21.97333333,20.39166667,17.76166667,18.40833333,17.90166667,27.35666667,7.053333333,11.41333333,11.38,11.39333333,11.55166667,9.988333333,9.958333333,9.765,8.68,8.363333333,8.308333333,8.026666667,7.685,7.428333333,7.233333333,7.05,7.215,7.1,7.168333333,7.236666667,7.235,7.155,7.421666667,7.463333333,7.411666667,17.52333333,87.38666667,2.191666667,1.933333333,1.763333333,1.513333333,1.795,2.081666667
17.215,11.09833333,17.34333333,17.29166667,0,2.086666667,57.885,29.56833333,48.11666667,43.45,42.96833333,41.89333333,41.525,41.69166667,41.50166667,41.79,42.12166667,48.54166667,68.87333333,71.26666667,59.3,70.87833333,68.59333333,67.50833333,67.49,67.44166667,67.51666667,67.14666667,54.03,52.42333333,52.57333333,52.60833333,52.70833333,52.68166667,39.75666667,39.81666667,39.275,39.205,39.59166667,39.81666667,52.13833333,40.10333333,39.265,37.68333333,35.05333333,35.7,35.19333333,44.64833333,24.345,28.705,28.67166667,28.685,28.84333333,27.28,27.25,27.05666667,25.97166667,25.655,25.6,25.31833333,24.97666667,24.72,24.525,24.34166667,24.50666667,24.39166667,24.46,24.52833333,24.52666667,24.44666667,24.71333333,24.755,24.70333333,34.815,104.6783333,19.48333333,19.225,19.055,18.805,19.08666667,19.37333333
15.12833333,9.011666667,15.25666667,15.205,2.086666667,0,55.79833333,27.48166667,46.03,41.36333333,40.88166667,39.80666667,39.43833333,39.605,39.415,39.70333333,40.035,46.455,66.78666667,69.18,57.21333333,68.79166667,66.50666667,65.42166667,65.40333333,65.355,65.43,65.06,51.94333333,50.33666667,50.48666667,50.52166667,50.62166667,50.595,37.67,37.73,37.18833333,37.11833333,37.505,37.73,50.05166667,38.01666667,37.17833333,35.59666667,32.96666667,33.61333333,33.10666667,42.56166667,22.25833333,26.61833333,26.585,26.59833333,26.75666667,25.19333333,25.16333333,24.97,23.885,23.56833333,23.51333333,23.23166667,22.89,22.63333333,22.43833333,22.255,22.42,22.305,22.37333333,22.44166667,22.44,22.36,22.62666667,22.66833333,22.61666667,32.72833333,102.5916667,17.39666667,17.13833333,16.96833333,16.71833333,17,17.28666667
44.53333333,47.98833333,40.50666667,40.55833333,57.8,55.71333333,0,49.48666667,59.28833333,50.055,43.32666667,44.83166667,45.54833333,45.715,45.51,45.81333333,46.145,52.565,72.89666667,75.29,63.32333333,74.90166667,72.61666667,71.53166667,71.51333333,71.465,71.54,71.17,67.91666667,66.31,66.46,66.495,66.595,66.56833333,53.64333333,53.70333333,53.16166667,53.09166667,53.47833333,53.70333333,66.025,53.99,53.15166667,51.57,48.94,49.58666667,49.08,58.535,38.23166667,42.59166667,42.55833333,42.57166667,42.73,41.16666667,41.13666667,40.94333333,39.85833333,39.54166667,39.48666667,39.205,38.86333333,38.60666667,38.41166667,38.22833333,38.39333333,38.27833333,38.34666667,38.415,38.41333333,38.33333333,38.6,38.64166667,38.59,48.70166667,108.7016667,38.83,39.53833333,39.44,39.445,39.11166667,39.29166667
16.18833333,19.64333333,12.16166667,12.21333333,29.455,27.36833333,49.565,0,22.13,17.395,16.91333333,15.83833333,15.47,15.63666667,15.44666667,15.735,16.06666667,22.48666667,42.81833333,45.21166667,33.245,44.82333333,42.53833333,41.45333333,41.435,41.38666667,41.46166667,41.09166667,45.71,44.10333333,44.25333333,44.28833333,44.38833333,44.36166667,31.43666667,31.49666667,30.955,30.885,31.27166667,31.49666667,43.81833333,31.78333333,30.945,29.36333333,26.73333333,27.38,26.87333333,36.32833333,16.025,20.385,20.35166667,20.365,20.52333333,18.96,18.93,18.73666667,17.65166667,17.335,17.28,16.99833333,16.65666667,16.4,16.205,16.02166667,16.18666667,16.07166667,16.14,16.20833333,16.20666667,16.12666667,16.39333333,16.435,16.38333333,26.495,78.62333333,11.16333333,11.61333333,11.39166667,11.1,10.89833333,10.76833333
34.80833333,38.26333333,30.78166667,30.83333333,48.075,45.98833333,59.16833333,22.10666667,0,9.205,18.64666667,17.57166667,17.20333333,17.37,17.18,17.46833333,17.8,24.22,44.55166667,46.945,34.97833333,46.55666667,44.27166667,43.18666667,43.16833333,43.12,43.195,42.825,64.33,62.72333333,62.87333333,62.90833333,63.00833333,62.98166667,50.05666667,50.11666667,49.575,49.505,49.89166667,50.11666667,62.43833333,50.40333333,49.565,47.98333333,45.35333333,46,45.49333333,54.94833333,34.645,39.005,38.97166667,38.985,39.14333333,37.58,37.55,37.35666667,36.27166667,35.955,35.9,35.61833333,35.27666667,35.02,34.825,34.64166667,34.80666667,34.69166667,34.76,34.82833333,34.82666667,34.74666667,35.01333333,35.055,35.00333333,45.115,80.35666667,29.78333333,30.23333333,30.01166667,29.72,29.51833333,29.38833333
30.055,33.51,26.02833333,26.08,43.32166667,41.235,49.96333333,17.35333333,9.233333333,0,9.441666667,8.366666667,7.998333333,8.165,7.975,8.263333333,8.595,15.015,35.34666667,37.74,25.77333333,37.35166667,35.06666667,33.98166667,33.96333333,33.915,33.99,33.62,59.57666667,57.97,58.12,58.155,58.255,58.22833333,45.30333333,45.36333333,44.82166667,44.75166667,45.13833333,45.36333333,57.685,45.65,44.81166667,43.23,40.6,41.24666667,40.74,50.195,29.89166667,34.25166667,34.21833333,34.23166667,34.39,32.82666667,32.79666667,32.60333333,31.51833333,31.20166667,31.14666667,30.865,30.52333333,30.26666667,30.07166667,29.88833333,30.05333333,29.93833333,30.00666667,30.075,30.07333333,29.99333333,30.26,30.30166667,30.25,40.36166667,71.15166667,25.03,25.48,25.25833333,24.96666667,24.765,24.635
